Name,revenue_ttm,price (USD),country
LVMH,95238779571,675.268,France
Christian Dior,84937516761,627.753,France
TJX Companies,56421000000,126.81,United States
Nike Inc.,50012000000,78.85,United States
Inditex,39963987268,26.86,Spain
Adidas AG,24645075339,253.304,Germany
H&M,22623774514,14.6184,Sweden
Kering,21629449480,251.364,France
Ross Stores,21092936000,153.84,United States
Fast Retailing,20673068148,353.794,Japan
Gap Inc.,15235000000,25.22,United States
Hermes International,14843024541,2367.32,France
JD Sports Fashion,12508029846,1.30614,United Kingdom
Zalando,11300536472,36.7002,Germany
Burlington Stores Inc,10484124000,295.49,United States
lululemon athletica,10181732000,399.75,Canada
VF Corporation,9999341000,21.28,United States
Cintas,9755872000,210.97,United States
Puma,9309597446,48.584,Germany
Phillips-Van Heusen,8879000000,109.76,United States
Ralph Lauren Corporation,6740100000,227.41,United States
Tapestry,6665500000,62.3,United States
Next PLC,6218807135,124.182,United Kingdom
Victoria's Secret & Co,6124000000,47.25,United States
Levi Strauss,6111300000,17.48,United States
American Eagle Outfitters,5402930000,17.65,United States
Under Armour,5400845000,9.18,United States
Urban Outfitters,5320059000,51.57,United States
Prada,5075437203,8.09511,Italy
Capri Holdings,4796000000,21.74,United Kingdom
Topsports International,4697953620,0.330491,Hong Kong
Abercrombie &amp; Fitch,4664042000,137.21,United States
Pepkor,4629857197,1.65767,South Africa
LPP SA,4578364884,4160.31,Poland
ASOS,4512051417,5.08699,United Kingdom
Hanesbrands,4385524000,8.66,United States
Burberry Group plc,3832623130,12.5583,United Kingdom
Columbia Sportswear,3331988000,89.02,United States
Gildan Activewear Inc.,3231779000,48.82,Canada
Fila,3120272689,29.2876,South Korea
G-III Apparel Group,3086394000,35.21,United States
The Foschini Group,2918736694,9.90763,South Africa
Guess,2866723000,15.66,United States
Carter's Inc,2842254000,54.55,United States
Lojas Renner S.A.,2714311225,2.64448,Brazil
Kontoor Brands,2578094000,89.28,United States
Bosideng International Holdings Limited,2441520144,0.504096,Hong Kong
UniFirst,2427431000,196.13,United States
About You,2137697026,6.79673,Germany
Boohoo Group,2133328509,0.439412,United Kingdom
Delta Galil Industries,1955042000,58.8482,Israel
Aritzia,1803984647,35.4047,Canada
Express,1786997000,0.83,United States
Boot Barn Holdings,1758043000,146.16,United States
Aditya Birla Fashion and Retail,1747648269,3.64992,India
Fox-Wizel,1617572177,84.7358,Israel
Ermenegildo Zegna,1601330115,8.55,Italy
OVS S.p.A.,1581125968,3.33543,Italy
Oxford Industries,1549129000,84.11,United States
The Children's Place,1522801000,14.54,United States
Savers Value Village,1518397000,10.05,United States
Global Fashion Group,1506448841,0.251206,Luxembourg
"World Co., Ltd.",1499751922,16.268,Japan
F&amp;F Co,1455480372,37.3706,South Korea
Lands' End,1436124000,15.19,United States
PDS Multinational,1357133400,6.92017,India
Stitch Fix,1337468000,6.64,United States
SMCP S.A.,1293429874,3.84414,France
Buckle,1230712000,52.82,United States
Torrid,1128961000,4.14,United States
Revolve,1093961000,37.99,United States
Mavi Giyim Sanayi ve Ticaret,1083026021,2.55292,Turkey
Lindex Group,1029239217,2.86344,Finland
Canada Goose,986784103,9.95,Canada
Moncler,971828410,54.6675,Italy
GEOX,966341470,0.589469,Italy
MYT Netherlands Parent (Mytheresa),933845371,7.12,Germany
Zumiez,930815000,21.77,United States
Arvind Limited,924752022,5.06544,India
Boozt,789289321,11.4381,Sweden
Texwinca Holdings,771858204,0.106735,Hong Kong
Fenix Outdoor,757124712,64.4245,Switzerland
KMD Brands,672245665,0.231401,New Zealand
Cato Fashion,666779000,3.46,United States
Duluth Holdings,642126000,3.35,United States
Tillys,618218000,3.53,United States
J.Jill,616327000,27.66,United States
Superior Group of Companies,567509000,17.22,United States
Page Industries,564939219,554.886,India
a.k.a. Brands,564586000,20.8,United States
FIGS,548645000,6.24,United States
Eagle Nice,516092856,0.48995,Hong Kong
Destination XL,484954000,2.63,United States
Brunello Cucinelli,458874173,103,Italy
Giordano,433468931,0.216041,Hong Kong
LightInTheBox Holding,430411000,1.69,Singapore
Gokaldas Exports,364148384,13.0421,India
CALIDA Holding,362087114,26.7824,Switzerland
Answear.com,357543403,6.56848,Poland
Delta Apparel,356591000,0.58,United States
Lulu's Fashion Lounge,324699000,1.05,United States
ThredUp,313757000,1.8,United States
Delta Israel Brands,306322331,17.7523,Israel
Rent the Runway,302200000,9.15,United States
Vince Holding,292727000,1.69,United States
Lux Industries,283549401,25.3095,India
Van de Velde,233576166,31.309,Belgium
Allbirds,205895000,0.5721,United States
Marimekko,196232711,12.3977,Finland
Dollar Industries,190260913,6.31058,India
RVRC Holding,171670264,3.96739,Sweden
Vedant Fashions,161064558,15.9315,India
Pattern S.p.A.,160952517,5.22341,Italy
Wolford,156780237,4.15356,Austria
Rupa Company,146202463,3.24785,India
Lakeland Industries,137738000,22.99,United States
Thob Al Aseel Company,136519776,1.1456,Saudi Arabia
Monte Carlo Fashions,126527571,11.1042,India
TCNS Clothing,110658819,6.93653,India
Kewal Kiran Clothing,104685023,7.47318,India
Grand Twins International Cambodia,102053712,1.29,Cambodia
Björn Borg,87855457,4.7272,Sweden
Kitex Garments,84271541,9.90803,India
LUDWIG BECK am Rathauseck - Textilhaus Feldmeier,80224165,16.782,Germany
Cantabil Retail India,77654626,3.01427,India
Nueva Expresión Textil,67300804,0.377596,Spain
Söktas Tekstil,60183133,0.156044,Turkey
Perfect Moment,22374000,1.45,United Kingdom
Kidpik,7783420,2.17,United States
MGO Global,3715414,2.27,United States
Interloop,0,0.263092,Pakistan
